"";"nationality";"Age_moyen";"nb_runner";"classement_moyen";"nb_event";"distance_moyenne";"nb_homme";"prop_homme";"prop_femme"
"1";"ALG";38,8888888888889;6;847;4;168,76;6;100;0
"2";"AND";47,1549295774648;48;96;7;98,13;46;95,83;4,17
"3";"ANG";56;1;NA;1;157;1;100;0
"4";"ARG";47,1744966442953;943;133;40;162,21;760;80,59;19,41
"5";"ARM";38;1;755;2;163,9;1;100;0
"6";"AUS";46,8792588164973;1015;95;107;161,58;784;77,24;22,76
"7";"AUT";47,4840579710145;224;209;39;163,61;202;90,18;9,81999999999999
"8";"AZE";45,5;2;7;3;159,1;2;100;0
"9";"BAH";38;4;276;2;162,95;4;100;0
"10";"BAN";32,5;2;12;2;78,45;2;100;0
"11";"BAR";32;1;50;1;167,2;1;100;0
"12";"BEL";45,7983425414365;754;396;73;159,12;686;90,98;9,02
"13";"BIH";46,3684210526316;11;301;6;156,89;9;81,82;18,18
"14";"BLR";41,2857142857143;6;77;4;165,09;5;83,33;16,67
"15";"BOL";49,625;6;214;6;153,96;6;100;0
"16";"BOT";32;1;NA;1;169,3;1;100;0
"17";"BRA";45,7058823529412;180;228;43;162,16;146;81,11;18,89
"18";"BRN";38;1;31;1;157;1;100;0
"19";"BRU";53;14;108;10;163,77;12;85,71;14,29
"20";"BUL";42,6086956521739;219;88;12;158,82;187;85,39;14,61
"21";"CAM";36;2;35;2;165,7;2;100;0
"22";"CAN";46,8185066095034;1408;93;122;154,6;1078;76,56;23,44
"23";"CHI";43,281512605042;117;154;18;161,09;101;86,32;13,68
"24";"CHN";42,8562381253958;3182;191;83;164,07;2653;83,38;16,62
"25";"CMR";49;1;168;1;163,2;1;100;0
"26";"COL";43,025;147;78;19;165,52;124;84,35;15,65
"27";"COM";36;3;718;2;166,43;3;100;0
"28";"CRC";44,45;39;101;23;148,7;33;84,62;15,38
"29";"CRO";45,8735891647855;215;210;16;166,59;193;89,77;10,23
"30";"CUB";48;1;68;1;159,6;1;100;0
"31";"CYP";46,2608695652174;13;222;10;164,62;12;92,31;7,69
"32";"CZE";44,0927835051546;297;143;52;153,77;249;83,84;16,16
"33";"DEN";47,4514435695538;245;194;64;162,03;220;89,8;10,2
"34";"DOM";56,5;3;723;3;82,73;2;66,67;33,33
"35";"ECU";40,9692307692308;50;227;17;163,45;40;80;20
"36";"EGY";38,2;6;170;6;148,92;5;83,33;16,67
"37";"ESA";41;5;509;6;164,43;4;80;20
"38";"ESP";46,3863039399625;3452;290;87;154,4;3259;94,41;5,59
"39";"EST";44,3684210526316;26;169;17;163,8;23;88,46;11,54
"40";"FIJ";46,5;4;10;1;166,2;3;75;25
"41";"FIN";43,8196721311475;438;90;38;164,98;364;83,11;16,89
"42";"Fra";54;17;587;10;166,16;16;94,12;5,88
"43";"FRA";47,5241839658908;17161;624;145;160,77;15693;91,45;8,55
"44";"GBR";47,659787075084;5469;133;172;160,45;4542;83,05;16,95
"45";"GEO";49;2;1675;1;166,5;2;100;0
"46";"GER";49,9507978723404;972;298;115;156,94;821;84,47;15,53
"47";"GRE";48,9841713221602;581;93;28;163,6;560;96,39;3,61
"48";"GUA";45,4390243902439;15;237;19;161,16;12;80;20
"49";"GUI";31;1;NA;1;163,7;1;100;0
"50";"HKG";46,0544041450777;674;370;51;165,7;549;81,45;18,55
"51";"HON";43;1;9;1;160,9;1;100;0
"52";"Hun";36;1;118;1;161,7;1;100;0
"53";"HUN";44,3167848699764;212;137;43;162,05;183;86,32;13,68
"54";"INA";40,6397058823529;83;181;21;150,09;74;89,16;10,84
"55";"IND";41,0824175824176;134;134;45;144,21;123;91,79;8,20999999999999
"56";"IRI";43,45;8;368;13;154,31;6;75;25
"57";"IRL";47,171974522293;179;230;62;159,51;151;84,36;15,64
"58";"ISL";49,1060606060606;36;379;17;165,63;28;77,78;22,22
"59";"ISR";49,2127659574468;113;104;26;164,11;103;91,15;8,84999999999999
"60";"ITA";49,2468649229667;1794;415;94;165,46;1605;89,46;10,54
"61";"JOR";49;3;63;3;164,18;2;66,67;33,33
"62";"JPN";48,2115123130382;3711;366;124;162,74;3230;87,04;12,96
"63";"KAZ";38,2;3;78;3;168,34;3;100;0
"64";"KEN";46,6;4;448;4;163,56;4;100;0
"65";"KGZ";51;1;167;4;161,8;1;100;0
"66";"KOR";50,1707317073171;47;646;21;164,88;39;82,98;17,02
"67";"LAT";42,247191011236;52;351;24;163,92;44;84,62;15,38
"68";"LBN";44;4;1065;3;168,68;4;100;0
"69";"LES";41;1;NA;1;157;1;100;0
"70";"LIE";48,6666666666667;5;24;3;162,4;5;100;0
"71";"LTU";40,3157894736842;20;214;20;161,42;16;80;20
"72";"LUX";53,0512820512821;25;706;12;166,33;21;84;16
"73";"MAC";41,35;13;238;8;164,68;11;84,62;15,38
"74";"MAD";44,8461538461538;8;1343;2;168,17;7;87,5;12,5
"75";"MAR";38,8518518518519;16;367;10;160;14;87,5;12,5
"76";"MAS";43,2206703910615;263;174;31;163,95;230;87,45;12,55
"77";"MAW";29;1;86;1;165,4;1;100;0
"78";"MDA";41;5;244;4;165,63;4;80;20
"79";"MDV";40,5;2;111;1;169,1;2;100;0
"80";"MEX";45,2725060827251;248;144;53;156,15;214;86,29;13,71
"81";"MGL";36;1;5;1;161,6;1;100;0
"82";"MKD";36,6842105263158;10;292;6;167,42;8;80;20
"83";"MLI";44;1;1234;1;168,1;1;100;0
"84";"MLT";49,25;4;144;2;168;2;50;50
"85";"MNE";45,3333333333333;3;491;5;166,58;2;66,67;33,33
"86";"MON";55;1;109;1;167,8;1;100;0
"87";"MOZ";41;1;29;5;132,14;1;100;0
"88";"MRI";48,6296296296296;37;924;4;166,94;34;91,89;8,11
"89";"NAM";43;1;20;2;161,9;1;100;0
"90";"NCA";43;1;55;2;160,7;1;100;0
"91";"NED";48,2291021671827;220;286;76;158,99;177;80,45;19,55
"92";"NEP";33,8367346938776;31;25;16;166,62;17;54,84;45,16
"93";"NGR";39;1;159;2;158,8;1;100;0
"94";"NIG";48;1;NA;1;170,35;1;100;0
"95";"NOR";43,986531986532;360;58;42;164,21;293;81,39;18,61
"96";"NZL";46,3393285371703;548;64;55;158,07;416;75,91;24,09
"97";"OMA";33,5301204819277;68;37;3;165,29;64;94,12;5,88
"98";"PAK";40;1;297;1;156,9;1;100;0
"99";"PAN";51,4545454545455;16;140;17;162,45;12;75;25
"100";"PAR";42,4827586206897;16;465;7;164,76;11;68,75;31,25
"101";"PER";47,8070175438597;21;203;27;149,32;18;85,71;14,29
"102";"PHI";39,6849315068493;271;108;44;161,31;246;90,77;9,23
"103";"POL";45,440522875817;1060;271;81;163,39;954;90;10
"104";"POR";46,8081180811808;654;255;57;157,65;604;92,35;7,65000000000001
"105";"PUR";44,6;6;105;8;112,99;4;66,67;33,33
"106";"QAT";41;1;93;1;161,4;1;100;0
"107";"ROU";41,9421487603306;148;314;31;165,4;133;89,86;10,14
"108";"RSA";44,3633986928105;446;80;37;159,92;361;80,94;19,06
"109";"RUS";40,1192196531792;886;93;70;165,43;737;83,18;16,82
"110";"SGP";47,9404761904762;105;430;36;164,93;90;85,71;14,29
"111";"SLO";47,8880778588808;176;129;24;165,83;156;88,64;11,36
"112";"SMR";48;1;592;1;169,6;1;100;0
"113";"SPA";49;1;356;1;162,9;1;100;0
"114";"SRB";41,3425925925926;67;246;14;167,72;54;80,6;19,4
"115";"SUI";46,9203722854188;621;355;72;164,93;537;86,47;13,53
"116";"SVK";44,2463768115942;80;241;33;157,77;75;93,75;6,25
"117";"SWE";45,7771929824561;1046;90;68;163,25;896;85,66;14,34
"118";"SYR";43;3;53;2;164,63;3;100;0
"119";"TAN";49;1;85;1;161;1;100;0
"120";"THA";42,0386206896552;486;86;22;166,22;415;85,39;14,61
"121";"TPE";46,8021978021978;60;473;23;160,68;52;86,67;13,33
"122";"TUN";48,3333333333333;4;274;5;152,92;4;100;0
"123";"TUR";46,3100775193798;168;168;15;162,6;147;87,5;12,5
"124";"UAE";46,3333333333333;3;156;3;162,47;2;66,67;33,33
"125";"UKR";39,6952380952381;72;102;31;163,91;61;84,72;15,28
"126";"URU";49,9523809523809;30;182;9;163,79;25;83,33;16,67
"127";"USA";46,80219476991;20236;89;175;140,98;15463;76,41;23,59
"128";"VEN";42,6585365853659;28;166;24;151,67;23;82,14;17,86
"129";"VIE";36,0714285714286;13;212;9;168,26;10;76,92;23,08
"130";"ZAM";54,6666666666667;2;41;2;159,8;2;100;0
